fixture_id,home_team,away_team,home_score,away_score,minute,status,region_league,match_link,timestamp,last_updated
jgyrDAGD,Magic United,Gold Coast Utd,2,1,63,live,AUSTRALIA - NPL Queensland,https://www.flashscore.com/match/football/gold-coast-utd-lW3Lnt2T/magic-united-tfa-fc-MX497UNi/?mid=jgyrDAGD,2026-02-21T06:22:30.673Z,2026-02-21T07:22:35.008778
25vH4uAr,Macarthur Rams,Rydalmere Lions,1,3,44,live,AUSTRALIA - NSW League One,https://www.flashscore.com/match/football/macarthur-rams-dMKm9Kfk/rydalmere-lions-6wbu9yrJ/?mid=25vH4uAr,2026-02-21T06:22:30.673Z,2026-02-21T07:22:35.012338
pCv9nUal,Canberra W,WS Wanderers W,1,0,HT,live,AUSTRALIA - A-League Women,https://www.flashscore.com/match/football/canberra-8zX0eXxt/western-sydney-wanderers-OQSp9Rrp/?mid=pCv9nUal,2026-02-21T06:22:30.675Z,2026-02-21T07:22:35.023176
h0rvllYq,Verdy,Machida,0,0,59,live,JAPAN - J1 League,https://www.flashscore.com/match/football/machida-zelvia-CUSC1dab/verdy-ppNYGTQb/?mid=h0rvllYq,2026-02-21T06:22:30.829Z,2026-02-21T07:22:35.036814
QDtnnS2d,Yokohama F. Marinos,Urawa Reds,0,1,63,live,JAPAN - J1 League,https://www.flashscore.com/match/football/urawa-reds-C8IHSxPk/yokohama-f-marinos-4h6TMt23/?mid=QDtnnS2d,2026-02-21T06:22:30.829Z,2026-02-21T07:22:35.041742
tMOY9Vf3,Shimizu S-Pulse,Vissel Kobe,0,0,45+4,live,JAPAN - J1 League,https://www.flashscore.com/match/football/shimizu-s-pulse-vPgupwAd/vissel-kobe-698tGI9q/?mid=tMOY9Vf3,2026-02-21T06:22:30.829Z,2026-02-21T07:22:35.045392
IPMfNRkf,Fujieda MYFC,Kofu,1,1,62,live,JAPAN - J2/J3 League,https://www.flashscore.com/match/football/fujieda-myfc-jFPWWTQn/kofu-4IyNxjsg/?mid=IPMfNRkf,2026-02-21T06:22:30.829Z,2026-02-21T07:22:35.075092
dAYoPmLs,Iwata,Yamaga,0,2,59,live,JAPAN - J2/J3 League,https://www.flashscore.com/match/football/iwata-QeOGk0W2/matsumoto-yamaga-0lMXpXdr/?mid=dAYoPmLs,2026-02-21T06:22:30.830Z,2026-02-21T07:22:35.082117
nN7sGArR,Kusatsu,Montedio Yamagata,0,1,64,live,JAPAN - J2/J3 League,https://www.flashscore.com/match/football/montedio-yamagata-2uKzonBU/thespakusatsu-gunma-UFZb6lCI/?mid=nN7sGArR,2026-02-21T06:22:30.830Z,2026-02-21T07:22:35.088904
SfrGU9cK,Nagano,Hokkaido Consadole Sapporo,1,1,61,live,JAPAN - J2/J3 League,https://www.flashscore.com/match/football/hokkaido-consadole-sapporo-Ak9yLKWF/nagano-parceiro-4UgFVol8/?mid=SfrGU9cK,2026-02-21T06:22:30.830Z,2026-02-21T07:22:35.101065
