fixture_id,date,match_time,region_league,league_id,home_team,away_team,home_team_id,away_team_id,home_score,away_score,match_status,match_link,league_stage,last_updated
rqaBOCNH,,18:45,EUROPE - Europa League,Unknown,Crvena zvezda,Lille,ncRzHK14,pfDZL71o,,,scheduled,https://www.flashscore.com/match/football/crvena-zvezda-ncRzHK14/lille-pfDZL71o/?mid=rqaBOCNH,Play Offs,2026-02-26T13:19:47.037417+00:00
pnINDe9a,,18:45,EUROPE - Europa League,Unknown,Ferencvaros,Ludogorets,pKS9M7R7,GrLjfV3M,,,scheduled,https://www.flashscore.com/match/football/ferencvaros-pKS9M7R7/ludogorets-GrLjfV3M/?mid=pnINDe9a,Play Offs,2026-02-26T13:19:47.037417+00:00
6JohFmT6,,18:45,EUROPE - Europa League,Unknown,Plzen,Panathinaikos,SENMmweG,2LA0e86b,,,scheduled,https://www.flashscore.com/match/football/panathinaikos-SENMmweG/plzen-2LA0e86b/?mid=6JohFmT6,Play Offs,2026-02-26T13:19:47.037417+00:00
QPJwAD8O,,18:45,EUROPE - Europa League,Unknown,Stuttgart,Celtic,QFKRRD8M,nJQmYp1B,,,scheduled,https://www.flashscore.com/match/football/celtic-QFKRRD8M/vfb-stuttgart-nJQmYp1B/?mid=QPJwAD8O,Play Offs,2026-02-26T13:19:47.037417+00:00
j3iStfwn,,21:00,EUROPE - Europa League,Unknown,Bologna,Brann,0M9xNN8N,QBbt6ivB,,,scheduled,https://www.flashscore.com/match/football/bologna-0M9xNN8N/brann-QBbt6ivB/?mid=j3iStfwn,Play Offs,2026-02-26T13:19:47.037417+00:00
QupxJVTs,,21:00,EUROPE - Europa League,Unknown,Celta Vigo,PAOK,8pvUZFhf,Kry6HxA9,,,scheduled,https://www.flashscore.com/match/football/celta-vigo-8pvUZFhf/paok-Kry6HxA9/?mid=QupxJVTs,Play Offs,2026-02-26T13:19:47.037417+00:00
tjTqLwHP,,21:00,EUROPE - Europa League,Unknown,Genk,Din. Zagreb,8G5ufQTg,r3jWUIiN,,,scheduled,https://www.flashscore.com/match/football/din-zagreb-8G5ufQTg/genk-r3jWUIiN/?mid=tjTqLwHP,Play Offs,2026-02-26T13:19:47.037417+00:00
25ceSfOh,,21:00,EUROPE - Europa League,Unknown,Nottingham,Fenerbahce,MsbmracL,UsushcZr,,,scheduled,https://www.flashscore.com/match/football/fenerbahce-MsbmracL/nottingham-UsushcZr/?mid=25ceSfOh,Play Offs,2026-02-26T13:19:47.037417+00:00
rPsbIFt0,,18:45,EUROPE - Conference League,Unknown,Celje,Drita,SpbURe4O,bwWOjXUP,,,scheduled,https://www.flashscore.com/match/football/celje-SpbURe4O/drita-bwWOjXUP/?mid=rPsbIFt0,Play Offs,2026-02-26T13:19:47.037417+00:00
OKAX1fdJ,,18:45,EUROPE - Conference League,Unknown,Fiorentina,Jagiellonia,Q3A3IbXH,lIDaZJTc,,,scheduled,https://www.flashscore.com/match/football/fiorentina-Q3A3IbXH/jagiellonia-lIDaZJTc/?mid=OKAX1fdJ,Play Offs,2026-02-26T13:19:47.037417+00:00
jR2JPclQ,,18:45,EUROPE - Conference League,Unknown,Rijeka,Omonia,GSLWiAPe,zXKuUR5J,,,scheduled,https://www.flashscore.com/match/football/omonia-GSLWiAPe/rijeka-zXKuUR5J/?mid=jR2JPclQ,Play Offs,2026-02-26T13:19:47.037417+00:00
