standings_key,league_id,team_id,team_name,position,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,last_updated,region_league
LIGUE_1_TNY2LFCP,LIGUE_1,tnY2Lfcp,MC Alger,1,3,2,18,10,18,8,10,36,2026-02-26T04:16:16.745121+00:00,ALGERIA - LIGUE 1 - ROUND 21
LIGUE_1_NBIONU2L,LIGUE_1,nBionu2l,Constantine,2,5,5,25,9,25,16,9,35,2026-02-26T04:16:16.745121+00:00,ALGERIA - LIGUE 1 - ROUND 21
LIGUE_1_NIMCBVEL,LIGUE_1,nimcBvel,Saoura,3,4,6,23,1,23,22,1,31,2026-02-26T04:16:16.745121+00:00,ALGERIA - LIGUE 1 - ROUND 21
LIGUE_1_DHMQSMOH,LIGUE_1,dhMQsMOh,Olympique Akbou,4,5,5,24,3,24,21,3,29,2026-02-26T04:16:16.745121+00:00,ALGERIA - LIGUE 1 - ROUND 21
LIGUE_1_CRCMB35M,LIGUE_1,CrCmB35M,Oran,5,6,6,21,4,21,17,4,27,2026-02-26T04:16:16.745121+00:00,ALGERIA - LIGUE 1 - ROUND 21
LIGUE_1_QMVZVXCB,LIGUE_1,QmvZvxCB,Ben Aknoun,6,6,5,24,2,24,22,2,27,2026-02-26T04:16:16.745121+00:00,ALGERIA - LIGUE 1 - ROUND 21
LIGUE_1_HGHHY7AM,LIGUE_1,hGHHy7Am,Rouisset,7,5,8,19,-2,19,21,-2,26,2026-02-26T04:16:16.745121+00:00,ALGERIA - LIGUE 1 - ROUND 21
LIGUE_1_VNJLB2JP,LIGUE_1,vNJLB2jP,CR Belouizdad,8,7,3,20,6,20,14,6,25,2026-02-26T04:16:16.745121+00:00,ALGERIA - LIGUE 1 - ROUND 21
LIGUE_1_LYUJTBJ9,LIGUE_1,lYuJtBj9,Khenchela,9,7,5,21,0,21,21,0,25,2026-02-26T04:16:16.745121+00:00,ALGERIA - LIGUE 1 - ROUND 21
LIGUE_1_ZXBIDJ5T,LIGUE_1,zXBidj5t,USM Alger,10,9,2,19,5,19,14,5,24,2026-02-26T04:16:16.745121+00:00,ALGERIA - LIGUE 1 - ROUND 21
LIGUE_1_WFASKWF0,LIGUE_1,Wfaskwf0,Kabylie,11,6,4,19,3,19,16,3,24,2026-02-26T04:16:16.745121+00:00,ALGERIA - LIGUE 1 - ROUND 21
LIGUE_1_EDGC6QYP,LIGUE_1,EDgC6qYp,ES Setif,12,8,7,19,-6,19,25,-6,23,2026-02-26T04:16:16.745121+00:00,ALGERIA - LIGUE 1 - ROUND 21
LIGUE_1_AOBOLC96,LIGUE_1,Aobolc96,ASO Chlef,13,6,9,17,-3,17,20,-3,21,2026-02-26T04:16:16.745121+00:00,ALGERIA - LIGUE 1 - ROUND 21
LIGUE_1_WIYFFF3J,LIGUE_1,WIyffF3J,Paradou,14,2,11,20,-8,20,28,-8,17,2026-02-26T04:16:16.745121+00:00,ALGERIA - LIGUE 1 - ROUND 21
LIGUE_1_J9T7TM2E,LIGUE_1,j9T7TM2E,Mostaganem,15,5,12,12,-9,12,21,-9,14,2026-02-26T04:16:16.745121+00:00,ALGERIA - LIGUE 1 - ROUND 21
LIGUE_1_S6H5XCS1,LIGUE_1,S6H5xCS1,El Bayadh,16,6,12,11,-15,11,26,-15,12,2026-02-26T04:16:16.745121+00:00,ALGERIA - LIGUE 1 - ROUND 21
LIGA_PROFESIONAL_AMZATY2S,LIGA_PROFESIONAL,Amzaty2s,Belgrano,1,3,0,9,5,9,4,5,15,2026-02-26T04:36:01.345718+00:00,ARGENTINA - LIGA PROFESIONAL - APERTURA - ROUND 7
LIGA_PROFESIONAL_EG51ADC4,LIGA_PROFESIONAL,Eg51aDC4,Ind. Rivadavia,2,0,1,10,4,10,6,4,15,2026-02-26T04:36:01.345718+00:00,ARGENTINA - LIGA PROFESIONAL - APERTURA - ROUND 7
LIGA_PROFESIONAL_NKWO1UW4,LIGA_PROFESIONAL,nkwO1uw4,Tigre,3,2,1,12,7,12,5,7,14,2026-02-26T04:36:01.345718+00:00,ARGENTINA - LIGA PROFESIONAL - APERTURA - ROUND 7
LIGA_PROFESIONAL_4QMJ2LNC,LIGA_PROFESIONAL,4QmJ2LNc,Rosario Central,4,2,2,8,2,8,6,2,11,2026-02-26T04:36:01.345718+00:00,ARGENTINA - LIGA PROFESIONAL - APERTURA - ROUND 7
LIGA_PROFESIONAL_JIDN9ZAJ,LIGA_PROFESIONAL,jiDN9Zaj,Gimnasia L.P.,5,1,3,7,-1,7,8,-1,10,2026-02-26T04:36:01.345718+00:00,ARGENTINA - LIGA PROFESIONAL - APERTURA - ROUND 7
LIGA_PROFESIONAL_XD3LGQ3F,LIGA_PROFESIONAL,xd3lGq3F,Huracan,6,3,1,5,1,5,4,1,9,2026-02-26T04:36:01.345718+00:00,ARGENTINA - LIGA PROFESIONAL - APERTURA - ROUND 7
LIGA_PROFESIONAL_QUXS0AHA,LIGA_PROFESIONAL,QuxS0ahA,Argentinos Jrs,7,2,1,3,1,3,2,1,8,2026-02-26T04:36:01.345718+00:00,ARGENTINA - LIGA PROFESIONAL - APERTURA - ROUND 7
LIGA_PROFESIONAL_HW08CP6J,LIGA_PROFESIONAL,hW08cP6J,Barracas Central,8,2,3,5,-1,5,6,-1,8,2026-02-26T04:36:01.345718+00:00,ARGENTINA - LIGA PROFESIONAL - APERTURA - ROUND 7
LIGA_PROFESIONAL_GIB40WNM,LIGA_PROFESIONAL,GIb40wNM,Banfield,9,1,3,6,0,6,6,0,7,2026-02-26T04:36:01.345718+00:00,ARGENTINA - LIGA PROFESIONAL - APERTURA - ROUND 7
LIGA_PROFESIONAL_OHAPHPM9,LIGA_PROFESIONAL,OhapHPm9,Racing Club,10,1,3,7,-1,7,8,-1,7,2026-02-26T04:36:01.345718+00:00,ARGENTINA - LIGA PROFESIONAL - APERTURA - ROUND 7
LIGA_PROFESIONAL_EVQSBE2F,LIGA_PROFESIONAL,EVqSBe2f,River Plate,11,1,3,4,-2,4,6,-2,7,2026-02-26T04:36:01.345718+00:00,ARGENTINA - LIGA PROFESIONAL - APERTURA - ROUND 7
LIGA_PROFESIONAL_KQ6KGFYC,LIGA_PROFESIONAL,KQ6kGfyc,Sarmiento Junin,12,0,4,4,-2,4,6,-2,6,2026-02-26T04:36:01.345718+00:00,ARGENTINA - LIGA PROFESIONAL - APERTURA - ROUND 7
LIGA_PROFESIONAL_KPQPXWKO,LIGA_PROFESIONAL,KpqpxWko,Atl. Tucuman,13,2,4,9,-1,9,10,-1,5,2026-02-26T04:36:01.345718+00:00,ARGENTINA - LIGA PROFESIONAL - APERTURA - ROUND 7
LIGA_PROFESIONAL_EU4QRECB,LIGA_PROFESIONAL,Eu4qrEcB,Aldosivi,14,3,3,2,-4,2,6,-4,3,2026-02-26T04:36:01.345718+00:00,ARGENTINA - LIGA PROFESIONAL - APERTURA - ROUND 7
LIGA_PROFESIONAL_LLPCIYF2,LIGA_PROFESIONAL,llpcIYF2,Estudiantes Rio Cuarto,15,1,5,1,-10,1,11,-10,1,2026-02-26T04:36:01.345718+00:00,ARGENTINA - LIGA PROFESIONAL - APERTURA - ROUND 7
LIGA_PROFESIONAL_P2SKCHXS,LIGA_PROFESIONAL,p2SkCHXs,Estudiantes L.P.,1,3,0,7,5,7,2,5,15,2026-02-26T04:18:46.445007+00:00,ARGENTINA - LIGA PROFESIONAL - APERTURA - ROUND 7
LIGA_PROFESIONAL_USCR8GFD,LIGA_PROFESIONAL,UsCR8gFd,Velez Sarsfield,2,3,0,8,4,8,4,4,15,2026-02-26T04:18:46.445007+00:00,ARGENTINA - LIGA PROFESIONAL - APERTURA - ROUND 7
LIGA_PROFESIONAL_80MMDBDN,LIGA_PROFESIONAL,80MMdBdN,Platense,3,3,1,5,2,5,3,2,12,2026-02-26T04:18:46.445007+00:00,ARGENTINA - LIGA PROFESIONAL - APERTURA - ROUND 7
LIGA_PROFESIONAL_JU1XJOJD,LIGA_PROFESIONAL,ju1xJoJd,San Lorenzo,4,2,2,7,2,7,5,2,11,2026-02-26T04:18:46.445007+00:00,ARGENTINA - LIGA PROFESIONAL - APERTURA - ROUND 7
LIGA_PROFESIONAL_GDFV0ZSH,LIGA_PROFESIONAL,Gdfv0Zsh,Defensa y Justicia,5,5,0,6,2,6,4,2,11,2026-02-26T04:18:46.445007+00:00,ARGENTINA - LIGA PROFESIONAL - APERTURA - ROUND 7
